GO.id	GO.tree	GO.term	hit_genes	p_value	p_adj	freq_foreground	freq_background	freq_back_minus_fore	freq_fore_non_GOid	freq_back_non_GOid	frac_genes_GOid	fold_enrich	num_genes_back
GO:0006397	BP	mRNA processing		0.000115755801561027	0.00613505748273443	2	2	0	28	2712	0.0666666666666667	90.4	2
GO:0009231	BP	riboflavin biosynthetic process		0.00113407436209734	0.0150264852977898	2	5	3	28	2709	0.0666666666666667	36.16	5
GO:0009244	BP	lipopolysaccharide core region biosynthetic process		0.00101810364742403	0.0150264852977898	3	19	16	27	2696	0.1	14.2736842105263	19
GO:0006261	BP	DNA-templated DNA replication		0.00598755181928372	0.0627274437791364	2	11	9	28	2703	0.0666666666666667	16.4363636363636	11
GO:0009410	BP	response to xenobiotic stimulus		0.00713637413700605	0.0627274437791364	2	12	10	28	2702	0.0666666666666667	15.0666666666667	12
GO:0051301	BP	cell division		0.00828475672554631	0.0627274437791364	3	39	36	27	2676	0.1	6.95384615384615	39
GO:0042254	BP	ribosome biogenesis		0.00970676752742636	0.0643073348691996	2	14	12	28	2700	0.0666666666666667	12.9142857142857	14
GO:0010038	BP	response to metal ion		0.0217660822728369	0.0961335300383632	1	2	1	29	2711	0.0333333333333333	45.2	2
GO:2000104	BP	negative regulation of DNA-templated DNA replication		0.0217660822728369	0.0961335300383632	1	2	1	29	2711	0.0333333333333333	45.2	2
GO:0007049	BP	cell cycle		0.0319644985196109	0.10125080285203	2	26	24	28	2688	0.0666666666666667	6.95384615384615	26
GO:0015937	BP	coenzyme A biosynthetic process		0.0324766726129154	0.10125080285203	1	3	2	29	2710	0.0333333333333333	30.1333333333333	3
GO:0019316	BP	D-allose catabolic process		0.0324766726129154	0.10125080285203	1	3	2	29	2710	0.0333333333333333	30.1333333333333	3
GO:0036104	BP	Kdo2-lipid A biosynthetic process		0.0324766726129154	0.10125080285203	1	3	2	29	2710	0.0333333333333333	30.1333333333333	3
GO:0009451	BP	RNA modification		0.0430738613028071	0.126828591613821	1	4	3	29	2709	0.0333333333333333	22.6	4
GO:0017148	BP	negative regulation of translation		0.0535588080379845	0.129028037546054	1	5	4	29	2708	0.0333333333333333	18.08	5
GO:1905153	BP	regulation of membrane invagination		0.0535588080379845	0.129028037546054	1	5	4	29	2708	0.0333333333333333	18.08	5
GO:0008615	BP	pyridoxine biosynthetic process		0.0639326610737391	0.130324270650314	1	6	5	29	2707	0.0333333333333333	15.0666666666667	6
GO:0019344	BP	cysteine biosynthetic process		0.0639326610737391	0.130324270650314	1	6	5	29	2707	0.0333333333333333	15.0666666666667	6
