plt	time_h	well	raw_od	row	col	cucl2	nitroxoline	strain	cond	well_id	od	tp	fit
2	6.48	A1	0.6005	A	1	1000	100	copA1	treatment	2.A1	0.06	7	0.176831115767371
2	6.48	A2	0.6274	A	2	1000	100	copA1	treatment	2.A2	0.06	7	0.176831115767371
2	6.48	A3	0.7955	A	3	300	100	copA1	treatment	2.A3	0.1323	7	0.389912610267054
2	6.48	A4	0.7696	A	4	300	100	copA1	treatment	2.A4	0.134	7	0.394922825213796
2	6.48	A5	0.6406	A	5	100	100	copA1	treatment	2.A5	0.1262	7	0.371934780164038
2	6.48	A6	0.6112	A	6	100	100	copA1	treatment	2.A6	0.1093	7	0.322127349222895
2	6.48	A7	0.3768	A	7	30	100	copA1	treatment	2.A7	0.06	7	0.176831115767371
2	6.48	A8	0.3821	A	8	30	100	copA1	treatment	2.A8	0.06	7	0.176831115767371
2	6.48	A9	0.3671	A	9	10	100	copA1	treatment	2.A9	0.06	7	0.176831115767371
2	6.48	A10	0.4219	A	10	10	100	copA1	treatment	2.A10	0.06	7	0.176831115767371
2	6.48	A11	0.4006	A	11	3	100	copA1	treatment	2.A11	0.06	7	0.176831115767371
2	6.48	A12	0.3821	A	12	3	100	copA1	treatment	2.A12	0.06	7	0.176831115767371
2	6.48	A13	0.3972	A	13	1	100	copA1	treatment	2.A13	0.06	7	0.176831115767371
2	6.48	A14	0.3863	A	14	1	100	copA1	treatment	2.A14	0.06	7	0.176831115767371
2	6.48	A15	0.3749	A	15	0	100	copA1	treatment	2.A15	0.06	7	0.176831115767371
2	6.48	A16	0.3856	A	16	0	100	copA1	treatment	2.A16	0.06	7	0.176831115767371
2	6.48	A17	0.6225	A	17	0	0	copA1	growth	2.A17	0.3791	7	1
2	6.48	A18	0.6283	A	18	0	0	copA1	growth	2.A18	0.3755	7	1
2	6.48	B1	0.5813	B	1	1000	100	copA1	treatment	2.B1	0.06	7	0.176831115767371
2	6.48	B3	0.743	B	3	300	100	copA1	treatment	2.B3	0.1841	7	0.542576806879551
2	6.48	B5	0.6555	B	5	100	100	copA1	treatment	2.B5	0.1307	7	0.38519711384659
2	6.48	B7	0.4062	B	7	30	100	copA1	treatment	2.B7	0.06	7	0.176831115767371
2	6.48	B9	0.3379	B	9	10	100	copA1	treatment	2.B9	0.06	7	0.176831115767371
2	6.48	B11	0.3973	B	11	3	100	copA1	treatment	2.B11	0.06	7	0.176831115767371
2	6.48	B13	0.3975	B	13	1	100	copA1	treatment	2.B13	0.06	7	0.176831115767371
2	6.48	B15	0.3923	B	15	0	100	copA1	treatment	2.B15	0.06	7	0.176831115767371
2	6.48	B17	0.5688	B	17	0	0	copA1	growth	2.B17	0.3448	7	1
2	6.48	C1	0.3921	C	1	1000	30	copA1	treatment	2.C1	0.06	7	0.176831115767371
2	6.48	C2	0.418	C	2	1000	30	copA1	treatment	2.C2	0.06	7	0.176831115767371
2	6.48	C3	0.4106	C	3	300	30	copA1	treatment	2.C3	0.0776	7	0.228701576392467
2	6.48	C4	0.4299	C	4	300	30	copA1	treatment	2.C4	0.076	7	0.223986079972004
2	6.48	C5	0.4045	C	5	100	30	copA1	treatment	2.C5	0.0976	7	0.287645281648258
2	6.48	C6	0.3799	C	6	100	30	copA1	treatment	2.C6	0.0613	7	0.180662456608998
2	6.48	C7	0.3735	C	7	30	30	copA1	treatment	2.C7	0.06	7	0.176831115767371
2	6.48	C8	0.3762	C	8	30	30	copA1	treatment	2.C8	0.0604	7	0.178009989872487
2	6.48	C9	0.327	C	9	10	30	copA1	treatment	2.C9	0.0608	7	0.179188863977603
2	6.48	C10	0.2781	C	10	10	30	copA1	treatment	2.C10	0.06	7	0.176831115767371
2	6.48	C11	0.317	C	11	3	30	copA1	treatment	2.C11	0.06	7	0.176831115767371
2	6.48	C12	0.3123	C	12	3	30	copA1	treatment	2.C12	0.06	7	0.176831115767371
2	6.48	C13	0.3178	C	13	1	30	copA1	treatment	2.C13	0.06	7	0.176831115767371
2	6.48	C14	0.3331	C	14	1	30	copA1	treatment	2.C14	0.06	7	0.176831115767371
2	6.48	C15	0.4755	C	15	0	30	copA1	treatment	2.C15	0.06	7	0.176831115767371
2	6.48	C16	0.5088	C	16	0	30	copA1	treatment	2.C16	0.0622	7	0.183314923345508
2	6.48	C17	0.5916	C	17	0	0	copA1	growth	2.C17	0.3611	7	1
2	6.48	C18	0.6181	C	18	0	0	copA1	growth	2.C18	0.3814	7	1
2	6.48	D1	0.4588	D	1	1000	30	copA1	treatment	2.D1	0.0841	7	0.247858280600599
2	6.48	D3	0.4263	D	3	300	30	copA1	treatment	2.D3	0.079	7	0.232827635760372
2	6.48	D5	0.4132	D	5	100	30	copA1	treatment	2.D5	0.108	7	0.318296008381268
2	6.48	D7	0.3697	D	7	30	30	copA1	treatment	2.D7	0.0615	7	0.181251893661556
2	6.48	D9	0.3454	D	9	10	30	copA1	treatment	2.D9	0.06	7	0.176831115767371
2	6.48	D11	0.3147	D	11	3	30	copA1	treatment	2.D11	0.06	7	0.176831115767371
2	6.48	D13	0.3258	D	13	1	30	copA1	treatment	2.D13	0.06	7	0.176831115767371
2	6.48	D15	0.3411	D	15	0	30	copA1	treatment	2.D15	0.0619	7	0.182430767766672
2	6.48	D17	0.6375	D	17	0	0	copA1	growth	2.D17	0.4115	7	1
2	6.48	E1	0.3457	E	1	1000	10	copA1	treatment	2.E1	0.06	7	0.176831115767371
2	6.48	E2	0.3763	E	2	1000	10	copA1	treatment	2.E2	0.06	7	0.176831115767371
2	6.48	E3	0.3686	E	3	300	10	copA1	treatment	2.E3	0.0859	7	0.25316321407362
2	6.48	E4	0.3476	E	4	300	10	copA1	treatment	2.E4	0.0674	7	0.198640286712014
2	6.48	E5	0.3463	E	5	100	10	copA1	treatment	2.E5	0.0702	7	0.206892405447825
2	6.48	E6	0.3581	E	6	100	10	copA1	treatment	2.E6	0.1038	7	0.305917830277552
2	6.48	E7	0.342	E	7	30	10	copA1	treatment	2.E7	0.102	7	0.300612896804531
2	6.48	E8	0.3323	E	8	30	10	copA1	treatment	2.E8	0.0763	7	0.224870235550841
2	6.48	E9	0.338	E	9	10	10	copA1	treatment	2.E9	0.077	7	0.226933265234793
2	6.48	E10	0.3448	E	10	10	10	copA1	treatment	2.E10	0.0786	7	0.231648761655257
2	6.48	E11	0.3257	E	11	3	10	copA1	treatment	2.E11	0.0795	7	0.234301228391767
2	6.48	E12	0.3039	E	12	3	10	copA1	treatment	2.E12	0.06	7	0.176831115767371
2	6.48	E13	0.3179	E	13	1	10	copA1	treatment	2.E13	0.0693	7	0.204239938711314
2	6.48	E14	0.3167	E	14	1	10	copA1	treatment	2.E14	0.0729	7	0.214849805657356
2	6.48	E15	0.3236	E	15	0	10	copA1	treatment	2.E15	0.0696	7	0.205124094290151
2	6.48	E16	0.3282	E	16	0	10	copA1	treatment	2.E16	0.06	7	0.176831115767371
2	6.48	E17	0.6274	E	17	0	0	copA1	growth	2.E17	0.399	7	1
2	6.48	E18	0.5722	E	18	0	0	copA1	growth	2.E18	0.3389	7	0.99880108555937
2	6.48	F1	0.3686	F	1	1000	10	copA1	treatment	2.F1	0.06	7	0.176831115767371
2	6.48	F3	0.3464	F	3	300	10	copA1	treatment	2.F3	0.0611	7	0.18007301955644
2	6.48	F5	0.3501	F	5	100	10	copA1	treatment	2.F5	0.086	7	0.253457932599899
2	6.48	F7	0.3491	F	7	30	10	copA1	treatment	2.F7	0.0959	7	0.282635066701515
2	6.48	F9	0.322	F	9	10	10	copA1	treatment	2.F9	0.06	7	0.176831115767371
2	6.48	F11	0.3086	F	11	3	10	copA1	treatment	2.F11	0.0645	7	0.190093449449924
2	6.48	F13	0.2531	F	13	1	10	copA1	treatment	2.F13	0.06	7	0.176831115767371
2	6.48	F15	0.3469	F	15	0	10	copA1	treatment	2.F15	0.086	7	0.253457932599899
2	6.48	F17	0.5456	F	17	0	0	copA1	growth	2.F17	0.3072	7	0.905375312728941
2	6.48	G1	0.3459	G	1	1000	3	copA1	treatment	2.G1	0.06	7	0.176831115767371
2	6.48	G2	0.374	G	2	1000	3	copA1	treatment	2.G2	0.06	7	0.176831115767371
2	6.48	G3	0.3418	G	3	300	3	copA1	treatment	2.G3	0.0699	7	0.206008249868988
2	6.48	G4	0.3363	G	4	300	3	copA1	treatment	2.G4	0.0769	7	0.226638546708514
2	6.48	G5	0.3052	G	5	100	3	copA1	treatment	2.G5	0.0746	7	0.219860020604099
2	6.48	G6	0.3178	G	6	100	3	copA1	treatment	2.G6	0.0633	7	0.186556827134577
2	6.48	G7	0.3027	G	7	30	3	copA1	treatment	2.G7	0.0673	7	0.198345568185735
2	6.48	G8	0.3124	G	8	30	3	copA1	treatment	2.G8	0.0715	7	0.210723746289451
2	6.48	G9	0.324	G	9	10	3	copA1	treatment	2.G9	0.0782	7	0.230469887550141
