horizontal_concentration	nitroxoline_concentration	norm_fitness	horizontal_drug	replicate
0.05	0	0	Aztreonam	1
0.043	0	0	Aztreonam	1
0.036	0	0.026985888181795	Aztreonam	1
0.029	0	0	Aztreonam	1
0.022	0	1	Aztreonam	1
0.015	0	1	Aztreonam	1
0.008	0	1	Aztreonam	1
0	0	0.976889152180978	Aztreonam	1
0.05	0.072	0	Aztreonam	1
0.043	0.072	0.0141156953566312	Aztreonam	1
0.036	0.072	0.286465582237516	Aztreonam	1
0.029	0.072	0.840299041230047	Aztreonam	1
0.022	0.072	0.869775934474777	Aztreonam	1
0.015	0.072	0.949903263999183	Aztreonam	1
0.008	0.072	0.964018959355814	Aztreonam	1
0	0.072	0.958621781719455	Aztreonam	1
0.05	0.135	0.0207583755244577	Aztreonam	1
0.043	0.135	0.0548021113845682	Aztreonam	1
0.036	0.135	0.35828956155214	Aztreonam	1
0.029	0.135	0.757265539132216	Aztreonam	1
0.022	0.135	0.811652483006295	Aztreonam	1
0.015	0.135	0.859396746712548	Aztreonam	1
0.008	0.135	0.91710503067054	Aztreonam	1
0	0.135	0.80916147794336	Aztreonam	1
0.05	0.198	0.035289238391578	Aztreonam	1
0.043	0.198	0.179767532041803	Aztreonam	1
0.036	0.198	0.692084239985419	Aztreonam	1
0.029	0.198	0.80417946781749	Aztreonam	1
0.022	0.198	0.740243671202161	Aztreonam	1
0.015	0.198	0.822862005789502	Aztreonam	1
0.008	0.198	0.807915975411893	Aztreonam	1
0	0.198	0.790063772460859	Aztreonam	1
0.05	0.261	0.0166067004195662	Aztreonam	1
0.043	0.261	0.506504362796767	Aztreonam	1
0.036	0.261	0.766814391873467	Aztreonam	1
0.029	0.261	0.890949477509723	Aztreonam	1
0.022	0.261	0.708275772894496	Aztreonam	1
0.015	0.261	0.692914575006397	Aztreonam	1
0.008	0.261	0.697066250111289	Aztreonam	1
0	0.261	0.70619993534205	Aztreonam	1
0.05	0.324	0.086354842181744	Aztreonam	1
0.043	0.324	0.627318108349111	Aztreonam	1
0.036	0.324	0.800027792712599	Aztreonam	1
0.029	0.324	0.847772056418851	Aztreonam	1
0.022	0.324	0.78964860495037	Aztreonam	1
0.015	0.324	0.699972422684713	Aztreonam	1
0.008	0.324	0.770966066978358	Aztreonam	1
0	0.324	0.654719164041395	Aztreonam	1
0.05	0.387	0.203016912629196	Aztreonam	1
0.043	0.387	0.581234514684815	Aztreonam	1
0.036	0.387	0.714503285551833	Aztreonam	1
0.029	0.387	0.800442960223088	Aztreonam	1
0.022	0.387	0.812897985537763	Aztreonam	1
0.015	0.387	0.79463061507624	Aztreonam	1
0.008	0.387	0.81414348806923	Aztreonam	1
0	0.387	0.701633092726669	Aztreonam	1
0.05	0.45	0.173540019384466	Aztreonam	1
0.043	0.45	0.52975374338416	Aztreonam	1
0.036	0.45	0.576667672069434	Aztreonam	1
0.029	0.45	0.693744910027375	Aztreonam	1
0.022	0.45	0.6277332758596	Aztreonam	1
0.015	0.45	0.704124097789604	Aztreonam	1
0.008	0.45	0.68170505222319	Aztreonam	1
0	0.45	0.630224280922535	Aztreonam	1
0.05	0	0.0181853523228014	Aztreonam	1
0.043	0	0.0301799464080534	Aztreonam	1
0.036	0	0.0251499553400445	Aztreonam	1
0.029	0	0.111046725886042	Aztreonam	1
0.022	0	0.882569971240637	Aztreonam	1
0.015	0	0.869027687595998	Aztreonam	1
0.008	0	0.964984440278014	Aztreonam	1
0	0	0.992842852346986	Aztreonam	1
0.05	0.072	0.00348230150862148	Aztreonam	1
0.043	0.072	0.0483652987308548	Aztreonam	1
0.036	0.072	0.284001034147579	Aztreonam	1
0.029	0.072	0.694525689775074	Aztreonam	1
0.022	0.072	0.932096037141032	Aztreonam	1
0.015	0.072	0.974270577634338	Aztreonam	1
0.008	0.072	1	Aztreonam	1
0	0.072	0.955311380531843	Aztreonam	1
0.05	0.135	0.00696460301724307	Aztreonam	1
0.043	0.135	0.0232153433908103	Aztreonam	1
0.036	0.135	0.335461711997208	Aztreonam	1
0.029	0.135	0.641517322366057	Aztreonam	1
0.022	0.135	0.83575236206917	Aztreonam	1
0.015	0.135	0.909654538529916	Aztreonam	1
0.008	0.135	1	Aztreonam	1
0	0.135	0.95569830292169	Aztreonam	1
0.05	0.198	0.0456568420019269	Aztreonam	1
0.043	0.198	0.157090490277816	Aztreonam	1
0.036	0.198	0.619462746144787	Aztreonam	1
0.029	0.198	0.845812344205188	Aztreonam	1
0.022	0.198	0.87367075627416	Aztreonam	1
0.015	0.198	1	Aztreonam	1
0.008	0.198	1	Aztreonam	1
0	0.198	0.966919052227248	Aztreonam	1
0.05	0.261	0.0499129882902421	Aztreonam	1
0.043	0.261	0.455407652849728	Aztreonam	1
0.036	0.261	0.744438678065316	Aztreonam	1
0.029	0.261	0.884117660800025	Aztreonam	1
0.022	0.261	0.889147651868033	Aztreonam	1
0.015	0.261	1	Aztreonam	1
0.008	0.261	0.953763690972455	Aztreonam	1
0	0.261	0.829174681441774	Aztreonam	1
0.05	0.324	0.183788135177248	Aztreonam	1
0.043	0.324	0.532405208429249	Aztreonam	1
0.036	0.324	0.736700230268379	Aztreonam	1
0.029	0.324	0.822983923204224	Aztreonam	1
0.022	0.324	0.800929346982954	Aztreonam	1
0.015	0.324	0.853163869612278	Aztreonam	1
0.008	0.324	0.867479998036611	Aztreonam	1
0	0.324	0.857420015900593	Aztreonam	1
0.05	0.387	0.2569164668583	Aztreonam	1
0.043	0.387	0.542465190565267	Aztreonam	1
0.036	0.387	0.762237107998271	Aztreonam	1
0.029	0.387	0.79783396786418	Aztreonam	1
0.022	0.387	0.831496215780855	Aztreonam	1
0.015	0.387	0.794351666355558	Aztreonam	1
0.008	0.387	0.794351666355558	Aztreonam	1
0	0.387	0.715032576436956	Aztreonam	1
0.05	0.45	0.235248813026877	Aztreonam	1
0.043	0.45	0.468563014104521	Aztreonam	1
0.036	0.45	0.567228223515464	Aztreonam	1
0.029	0.45	0.60321200577122	Aztreonam	1
0.022	0.45	0.539756733836339	Aztreonam	1
0.015	0.45	0.644999623874679	Aztreonam	1
0.008	0.45	0.620623513314328	Aztreonam	1
0	0.45	0.485974521647628	Aztreonam	1
0.05	0	0	Aztreonam	2
0.043	0	0.00874635559017493	Aztreonam	2
0.036	0	0.00166597249336671	Aztreonam	2
0.029	0	0.0337359429906749	Aztreonam	2
0.022	0	0.859225313453856	Aztreonam	2
0.015	0	0.881715942114305	Aztreonam	2
0.008	0	0.936276541272064	Aztreonam	2
0	0	1	Aztreonam	2
0.05	0.072	0.0258225736471833	Aztreonam	2
0.043	0.072	0.0878800490250913	Aztreonam	2
0.036	0.072	0.257809243348491	Aztreonam	2
0.029	0.072	0.720116610257739	Aztreonam	2
0.022	0.072	0.914202405734955	Aztreonam	2
0.015	0.072	1	Aztreonam	2
0.008	0.072	1	Aztreonam	2
0	0.072	1	Aztreonam	2
0.05	0.135	0.0537276129110748	Aztreonam	2
0.043	0.135	0.152019990019708	Aztreonam	2
0.036	0.135	0.596834645748606	Aztreonam	2
0.029	0.135	0.498958761763315	Aztreonam	2
0.022	0.135	1	Aztreonam	2
0.015	0.135	1	Aztreonam	2
0.008	0.135	1	Aztreonam	2
0	0.135	1	Aztreonam	2
0.05	0.198	0.00458142435675828	Aztreonam	2
0.043	0.198	0.191586836737166	Aztreonam	2
0.036	0.198	0.655560176139781	Aztreonam	2
0.029	0.198	0.924198240695155	Aztreonam	2
0.022	0.198	0.954602238699097	Aztreonam	2
0.015	0.198	0.952103279959047	Aztreonam	2
0.008	0.198	1	Aztreonam	2
0	0.198	0.996251551033263	Aztreonam	2
0.05	0.261	0	Aztreonam	2
0.043	0.261	0.452311531949048	Aztreonam	2
0.036	0.261	0.695543515980581	Aztreonam	2
0.029	0.261	0.934610568778697	Aztreonam	2
0.022	0.261	0.926697199435205	Aztreonam	2
0.015	0.261	0.87546854526418	Aztreonam	2
0.008	0.261	0.85797583408383	Aztreonam	2
0	0.261	0.970845470509422	Aztreonam	2
0.05	0.324	0	Aztreonam	2
0.043	0.324	0.374010824760815	Aztreonam	2
0.036	0.324	0.707205323434148	Aztreonam	2
0.029	0.324	0.855476875343781	Aztreonam	2
0.022	0.324	0.789254468732456	Aztreonam	2
0.015	0.324	0.959600156179197	Aztreonam	2
0.008	0.324	0.841316109150164	Aztreonam	2
0	0.324	0.828821315449914	Aztreonam	2
0.05	0.387	0.0428987917041915	Aztreonam	2
0.043	0.387	0.301541021299366	Aztreonam	2
0.036	0.387	0.676801325430206	Aztreonam	2
0.029	0.387	0.775926688785522	Aztreonam	2
0.022	0.387	0.860058299700539	Aztreonam	2
0.015	0.387	0.741357759548164	Aztreonam	2
0.008	0.387	0.785089537499039	Aztreonam	2
0	0.387	0.870054134660739	Aztreonam	2
0.05	0.45	0	Aztreonam	2
0.043	0.45	0.261557681458566	Aztreonam	2
0.036	0.45	0.577259468951548	Aztreonam	2
0.029	0.45	0.64014993057614	Aztreonam	2
0.022	0.45	0.663473545483273	Aztreonam	2
0.015	0.45	0.650978751783023	Aztreonam	2
0.008	0.45	0.690962091623823	Aztreonam	2
0	0.45	0.723032062121131	Aztreonam	2
0.05	0	0.0161019806439231	Aztreonam	2
0.043	0	0.0322039612878461	Aztreonam	2
0.036	0	0.00483059419317696	Aztreonam	2
0.029	0	0.306340181750637	Aztreonam	2
0.022	0	0.873934999448926	Aztreonam	2
0.015	0	0.968534135731974	Aztreonam	2
0.008	0	0.928279184122166	Aztreonam	2
0.05	0.072	0.03139886225565	Aztreonam	2
0.043	0.072	0.0398524020937096	Aztreonam	2
0.036	0.072	0.318014117717481	Aztreonam	2
0.029	0.072	0.727406975589226	Aztreonam	2
0.022	0.072	0.803891383647861	Aztreonam	2
0.015	0.072	0.909359356865557	Aztreonam	2
0.008	0.072	0.963300992022699	Aztreonam	2
0.05	0.135	0.0909761906381655	Aztreonam	2
0.043	0.135	0.11714190918454	Aztreonam	2
0.036	0.135	0.570412664310976	Aztreonam	2
0.029	0.135	0.63643078495106	Aztreonam	2
0.022	0.135	0.898893069447007	Aztreonam	2
0.015	0.135	0.952432155088051	Aztreonam	2
0.008	0.135	0.977390225086132	Aztreonam	2
0.05	0.198	0.132036241280169	Aztreonam	2
0.043	0.198	0.243945006755435	Aztreonam	2
0.036	0.198	0.662596503497435	Aztreonam	2
0.029	0.198	0.826434156549353	Aztreonam	2
0.022	0.198	0.966521388151484	Aztreonam	2
0.015	0.198	0.990674359117368	Aztreonam	2
0	0.198	1	Aztreonam	2
0.05	0.261	0.206105352242216	Aztreonam	2
0.043	0.261	0.555518332215347	Aztreonam	2
0.036	0.261	0.84173103816108	Aztreonam	2
0.029	0.261	0.993894755246153	Aztreonam	2
0.022	0.261	0.95484745218464	Aztreonam	2
0.015	0.261	1	Aztreonam	2
0.008	0.261	1	Aztreonam	2
0	0.261	1	Aztreonam	2
0.05	0.324	0.237101664981768	Aztreonam	2
0.043	0.324	0.580878951729526	Aztreonam	2
0.036	0.324	0.832472399290824	Aztreonam	2
0.029	0.324	0.912579752994342	Aztreonam	2
0.022	0.324	0.90251601509189	Aztreonam	2
0.015	0.324	0.964106091054895	Aztreonam	2
0.008	0.324	1	Aztreonam	2
0	0.324	0.965716289119288	Aztreonam	2
0.05	0.387	0.346595133360445	Aztreonam	2
0.043	0.387	0.567997367214387	Aztreonam	2
0.036	0.387	0.756390540748287	Aztreonam	2
0.029	0.387	0.853404974127924	Aztreonam	2
0.022	0.387	0.840925939128884	Aztreonam	2
0.015	0.387	0.804293933163959	Aztreonam	2
0.008	0.387	0.791814898164918	Aztreonam	2
0	0.387	0.807111779776645	Aztreonam	2
0.05	0.45	0.349412979973131	Aztreonam	2
0.043	0.45	0.499563949477714	Aztreonam	2
0.036	0.45	0.526534767056285	Aztreonam	2
0.029	0.45	0.619121155758843	Aztreonam	2
0.022	0.45	0.584501897374408	Aztreonam	2
0.015	0.45	0.603824274147116	Aztreonam	2
0.008	0.45	0.557933629311935	Aztreonam	2
0	0.45	0.561556574956818	Aztreonam	2
0.14	0	0	Trimethoprim	1
0.0616	0	0.319709355131698	Trimethoprim	1
0.1204	0	0.0554041780199817	Trimethoprim	1
0.042	0	0.944595821980018	Trimethoprim	1
0.1008	0	0.0526793823796549	Trimethoprim	1
0.0224	0	0.895549500454133	Trimethoprim	1
0.0812	0	0.215258855585831	Trimethoprim	1
0	0	1	Trimethoprim	1
0.14	0.12	0.100817438692098	Trimethoprim	1
0.0616	0.12	0.493188010899183	Trimethoprim	1
0.1204	0.12	0.166212534059945	Trimethoprim	1
0.042	0.12	0.69936421435059	Trimethoprim	1
0.1008	0.12	0.213533151680291	Trimethoprim	1
0.0224	0.12	0.993642143505904	Trimethoprim	1
0.0812	0.12	0.281653042688465	Trimethoprim	1
0	0.12	1	Trimethoprim	1
0.14	0.33	0.382379654859219	Trimethoprim	1
0.0616	0.33	0.751135331516803	Trimethoprim	1
0.1204	0.33	0.510445049954587	Trimethoprim	1
0.042	0.33	1	Trimethoprim	1
0.1008	0.33	0.581289736603088	Trimethoprim	1
0.0224	0.33	1	Trimethoprim	1
0.0812	0.33	0.493188010899183	Trimethoprim	1
0	0.33	1	Trimethoprim	1
0.14	0.435	0.345140781108084	Trimethoprim	1
0.0616	0.435	0.712988192552225	Trimethoprim	1
0.1204	0.435	0.41780199818347	Trimethoprim	1
0.042	0.435	1	Trimethoprim	1
0.1008	0.435	0.549500454132607	Trimethoprim	1
0.0224	0.435	1	Trimethoprim	1
0.0812	0.435	0.489554950045413	Trimethoprim	1
0	0.435	1	Trimethoprim	1
0.14	0.54	0.356948228882834	Trimethoprim	1
0.0616	0.54	0.747502270663034	Trimethoprim	1
0.1204	0.54	0.422343324250681	Trimethoprim	1
0.042	0.54	0.875567665758401	Trimethoprim	1
0.1008	0.54	0.449591280653951	Trimethoprim	1
0.0224	0.54	0.992733878292461	Trimethoprim	1
0.0812	0.54	0.522252497729337	Trimethoprim	1
0	0.54	1	Trimethoprim	1
0.14	0.645	0.337874659400545	Trimethoprim	1
0.0616	0.645	0.667574931880109	Trimethoprim	1
0.1204	0.645	0.419618528610354	Trimethoprim	1
0.042	0.645	0.741144414168937	Trimethoprim	1
0.1008	0.645	0.485013623978202	Trimethoprim	1
0.0224	0.645	0.85921889191644	Trimethoprim	1
0.0812	0.645	0.553133514986376	Trimethoprim	1
0	0.645	0.811080835603996	Trimethoprim	1
0.14	0.75	0.383287920072661	Trimethoprim	1
0.0616	0.75	0.62125340599455	Trimethoprim	1
0.1204	0.75	0.4141689373297	Trimethoprim	1
0.042	0.75	0.701180744777475	Trimethoprim	1
0.1008	0.75	0.438692098092643	Trimethoprim	1
0.0224	0.75	0.839237057220708	Trimethoprim	1
0.0812	0.75	0.512261580381471	Trimethoprim	1
0	0.75	0.732061762034514	Trimethoprim	1
0.14	0	0	Trimethoprim	2
0.0616	0	0.324374420759963	Trimethoprim	2
0.1204	0	0.014	Trimethoprim	2
0.042	0	0.837812789620018	Trimethoprim	2
0.1008	0	0.014	Trimethoprim	2
0.0224	0	0.801668211306765	Trimethoprim	2
0.0812	0	0.254865616311399	Trimethoprim	2
0	0	1	Trimethoprim	2
0.14	0.12	0.0852641334569045	Trimethoprim	2
0.0616	0.12	0.531047265987025	Trimethoprim	2
0.1204	0.12	0.0481927710843372	Trimethoprim	2
0.042	0.12	0.72937905468026	Trimethoprim	2
0.1008	0.12	0.0092678405931418	Trimethoprim	2
0.0224	0.12	0.77386468952734	Trimethoprim	2
0.0812	0.12	0.189063948100093	Trimethoprim	2
0	0.12	1	Trimethoprim	2
0.14	0.33	0.330861909175162	Trimethoprim	2
0.0616	0.33	0.862835959221501	Trimethoprim	2
0.1204	0.33	0.38368860055607	Trimethoprim	2
0.042	0.33	1	Trimethoprim	2
0.1008	0.33	0.471733086190918	Trimethoprim	2
0.0224	0.33	1	Trimethoprim	2
0.0812	0.33	0.505097312326228	Trimethoprim	2
0	0.33	1	Trimethoprim	2
0.14	0.435	0.368860055607044	Trimethoprim	2
0.0616	0.435	0.897126969416126	Trimethoprim	2
0.1204	0.435	0.400370713623726	Trimethoprim	2
0.042	0.435	0.985171455050973	Trimethoprim	2
0.1008	0.435	0.438368860055607	Trimethoprim	2
0.0224	0.435	1	Trimethoprim	2
0.0812	0.435	0.549582947173309	Trimethoprim	2
0	0.435	1	Trimethoprim	2
0.14	0.54	0.362372567191844	Trimethoprim	2
0.0616	0.54	0.789620018535681	Trimethoprim	2
0.1204	0.54	0.392029657089898	Trimethoprim	2
0.042	0.54	0.856348470806302	Trimethoprim	2
0.1008	0.54	0.42354031510658	Trimethoprim	2
0.0224	0.54	1	Trimethoprim	2
0.0812	0.54	0.590361445783133	Trimethoprim	2
0	0.54	0.876737720111214	Trimethoprim	2
0.14	0.645	0.376274328081557	Trimethoprim	2
0.0616	0.645	0.643188137164041	Trimethoprim	2
0.1204	0.645	0.418906394810009	Trimethoprim	2
0.042	0.645	0.772011121408712	Trimethoprim	2
0.1008	0.645	0.443929564411492	Trimethoprim	2
0.0224	0.645	0.849860982391103	Trimethoprim	2
