plt	time_h	well	raw_od	row	col	cucl2	nitroxoline	strain	cond	well_id	od	tp	fit
2	0	A1	0.5829	A	1	1000	100	copA1	treatment	2.A1	0.06	1	1
2	1.08	A1	0.6032	A	1	1000	100	copA1	treatment	2.A1	0.06	2	0.9816428949386
2	2.16	A1	0.6194	A	1	1000	100	copA1	treatment	2.A1	0.06	3	0.966102252847052
2	3.24	A1	0.6023	A	1	1000	100	copA1	treatment	2.A1	0.06	4	0.805260074549594
2	4.32	A1	0.6034	A	1	1000	100	copA1	treatment	2.A1	0.06	5	0.364100978372668
2	5.4	A1	0.6039	A	1	1000	100	copA1	treatment	2.A1	0.06	6	0.226764231943014
2	6.48	A1	0.6005	A	1	1000	100	copA1	treatment	2.A1	0.06	7	0.176831115767371
2	7.56	A1	0.6056	A	1	1000	100	copA1	treatment	2.A1	0.06	8	0.155667503930529
2	8.64	A1	0.5994	A	1	1000	100	copA1	treatment	2.A1	0.06	9	0.142197384293571
2	9.72	A1	0.6049	A	1	1000	100	copA1	treatment	2.A1	0.06	10	0.135309084336664
2	10.81	A1	0.6053	A	1	1000	100	copA1	treatment	2.A1	0.06	11	0.132843857507956
2	11.89	A1	0.597	A	1	1000	100	copA1	treatment	2.A1	0.06	12	0.133403013006026
2	12.97	A1	0.6035	A	1	1000	100	copA1	treatment	2.A1	0.06	13	0.132620662464588
2	14.05	A1	0.595	A	1	1000	100	copA1	treatment	2.A1	0.06	14	0.136359960882444
2	15.13	A1	0.5958	A	1	1000	100	copA1	treatment	2.A1	0.06	15	0.135731271113883
2	0	A2	0.5854	A	2	1000	100	copA1	treatment	2.A2	0.06	1	1
2	1.08	A2	0.7545	A	2	1000	100	copA1	treatment	2.A2	0.1691	2	1
2	2.16	A2	0.7589	A	2	1000	100	copA1	treatment	2.A2	0.1735	3	1
2	3.24	A2	0.7635	A	2	1000	100	copA1	treatment	2.A2	0.1781	4	1
2	4.32	A2	0.717	A	2	1000	100	copA1	treatment	2.A2	0.1316	5	0.798594812564051
2	5.4	A2	0.7875	A	2	1000	100	copA1	treatment	2.A2	0.2021	6	0.763817521261386
2	6.48	A2	0.6274	A	2	1000	100	copA1	treatment	2.A2	0.06	7	0.176831115767371
2	7.56	A2	0.6318	A	2	1000	100	copA1	treatment	2.A2	0.06	8	0.155667503930529
2	8.64	A2	0.6101	A	2	1000	100	copA1	treatment	2.A2	0.06	9	0.142197384293571
2	9.72	A2	0.5819	A	2	1000	100	copA1	treatment	2.A2	0.06	10	0.135309084336664
2	10.81	A2	0.5899	A	2	1000	100	copA1	treatment	2.A2	0.06	11	0.132843857507956
2	11.89	A2	0.6162	A	2	1000	100	copA1	treatment	2.A2	0.06	12	0.133403013006026
2	12.97	A2	0.614	A	2	1000	100	copA1	treatment	2.A2	0.06	13	0.132620662464588
2	14.05	A2	0.5817	A	2	1000	100	copA1	treatment	2.A2	0.06	14	0.136359960882444
2	15.13	A2	0.6394	A	2	1000	100	copA1	treatment	2.A2	0.06	15	0.135731271113883
2	0	A3	0.6632	A	3	300	100	copA1	treatment	2.A3	0.06	1	1
2	1.08	A3	0.8199	A	3	300	100	copA1	treatment	2.A3	0.1567	2	1
2	2.16	A3	0.751	A	3	300	100	copA1	treatment	2.A3	0.0878	3	1
2	3.24	A3	0.7742	A	3	300	100	copA1	treatment	2.A3	0.111	4	1
2	4.32	A3	0.8019	A	3	300	100	copA1	treatment	2.A3	0.1387	5	0.841680095004817
2	5.4	A3	0.7696	A	3	300	100	copA1	treatment	2.A3	0.1064	6	0.402128571312279
2	6.48	A3	0.7955	A	3	300	100	copA1	treatment	2.A3	0.1323	7	0.389912610267054
2	7.56	A3	0.7416	A	3	300	100	copA1	treatment	2.A3	0.0784	8	0.203405538469224
2	8.64	A3	0.7574	A	3	300	100	copA1	treatment	2.A3	0.0942	9	0.223249893340906
2	9.72	A3	0.7574	A	3	300	100	copA1	treatment	2.A3	0.0942	10	0.212435262408563
2	10.81	A3	0.7586	A	3	300	100	copA1	treatment	2.A3	0.0954	11	0.211221733437651
2	11.89	A3	0.7554	A	3	300	100	copA1	treatment	2.A3	0.0921999999999999	12	0.20499596331926
2	12.97	A3	0.7315	A	3	300	100	copA1	treatment	2.A3	0.0683	13	0.150966520772189
2	14.05	A3	0.7594	A	3	300	100	copA1	treatment	2.A3	0.0962	14	0.218630470614852
2	15.13	A3	0.7445	A	3	300	100	copA1	treatment	2.A3	0.0813	15	0.183915872359312
2	0	A4	0.6356	A	4	300	100	copA1	treatment	2.A4	0.06	1	1
2	1.08	A4	0.741	A	4	300	100	copA1	treatment	2.A4	0.1054	2	1
2	2.16	A4	0.7736	A	4	300	100	copA1	treatment	2.A4	0.138	3	1
2	3.24	A4	0.7506	A	4	300	100	copA1	treatment	2.A4	0.115	4	1
2	4.32	A4	0.7591	A	4	300	100	copA1	treatment	2.A4	0.1235	5	0.749441180483741
2	5.4	A4	0.7452	A	4	300	100	copA1	treatment	2.A4	0.1096	6	0.414222663682573
2	6.48	A4	0.7696	A	4	300	100	copA1	treatment	2.A4	0.134	7	0.394922825213796
2	7.56	A4	0.7896	A	4	300	100	copA1	treatment	2.A4	0.154	8	0.39954659342169
2	8.64	A4	0.7834	A	4	300	100	copA1	treatment	2.A4	0.1478	9	0.350279556643163
2	9.72	A4	0.7929	A	4	300	100	copA1	treatment	2.A4	0.1573	10	0.354735316102622
2	10.81	A4	0.803	A	4	300	100	copA1	treatment	2.A4	0.1674	11	0.370634362447198
2	11.89	A4	0.7955	A	4	300	100	copA1	treatment	2.A4	0.1599	12	0.355519029661059
2	12.97	A4	0.693	A	4	300	100	copA1	treatment	2.A4	0.06	13	0.132620662464588
2	14.05	A4	0.7097	A	4	300	100	copA1	treatment	2.A4	0.0740999999999999	14	0.168404551689818
2	15.13	A4	0.7294	A	4	300	100	copA1	treatment	2.A4	0.0938	15	0.212193220508037
2	0	A5	0.5144	A	5	100	100	copA1	treatment	2.A5	0.06	1	1
2	1.08	A5	0.6134	A	5	100	100	copA1	treatment	2.A5	0.099	2	1
2	2.16	A5	0.6098	A	5	100	100	copA1	treatment	2.A5	0.0954	3	1
2	3.24	A5	0.604	A	5	100	100	copA1	treatment	2.A5	0.0896	4	1
2	4.32	A5	0.6669	A	5	100	100	copA1	treatment	2.A5	0.1525	5	0.925423320030531
2	5.4	A5	0.6181	A	5	100	100	copA1	treatment	2.A5	0.1037	6	0.391924180874843
2	6.48	A5	0.6406	A	5	100	100	copA1	treatment	2.A5	0.1262	7	0.371934780164038
2	7.56	A5	0.6154	A	5	100	100	copA1	treatment	2.A5	0.101	8	0.262040298283057
2	8.64	A5	0.6026	A	5	100	100	copA1	treatment	2.A5	0.0882000000000001	9	0.20903015491155
2	9.72	A5	0.614	A	5	100	100	copA1	treatment	2.A5	0.0996	10	0.224613079998863
