Label,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation,Mask_Path
11,325,77.590,0.678,1,77,98,40,69,87.971,53.685,87.971,53.685,16.760,6.390,59.247,2.623,354,0.918,32.802,52.431,88.480,53.691,32.686,13.639,57.265,32.814,1.000,83,46,6,9.455,2.735,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
21,189,53.781,0.821,1,468,480,40,59,474.246,49.643,474.246,49.643,9.742,6.461,88.680,1.508,202,0.936,21.024,64.654,474.000,49.500,19.000,12.000,90.000,21.014,1.000,474,47,6,7.091,1.751,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
32,258,69.315,0.675,1,96,113,51,77,103.973,63.973,103.973,63.973,15.076,5.568,66.878,2.708,273,0.945,29.682,57.381,104.000,64.000,29.516,11.628,63.435,29.614,0.998,100,55,5,7.400,2.961,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
43,265,64.277,0.806,1,466,479,57,82,472.326,69.145,472.326,69.145,13.213,6.596,-82.980,2.003,279,0.950,25.495,78.690,472.607,69.717,25.080,12.955,94.764,25.814,1.013,472,63,6,8.909,2.151,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
53,282,73.567,0.655,1,92,109,67,96,100.493,81.621,100.493,81.621,16.492,5.574,68.563,2.959,300,0.940,31.305,63.435,100.603,81.759,31.197,11.327,68.199,31.414,1.003,96,72,5,8.429,3.141,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
75,362,88.086,0.586,1,637,659,184,219,647.801,201.213,647.801,201.213,20.229,5.878,66.324,3.442,398,0.910,37.696,68.199,647.655,201.638,37.696,12.256,68.199,38.014,1.008,646,198,6,8.769,3.168,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
85,390,92.433,0.574,1,636,657,204,241,646.474,222.849,646.474,222.849,21.617,5.974,68.272,3.619,425,0.918,40.719,65.323,646.599,222.120,40.525,12.757,70.907,40.614,0.997,648,226,6,9.071,3.385,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
107,269,68.435,0.722,1,1274,1300,585,603,1285.939,593.634,1285.939,593.634,14.021,6.303,23.102,2.225,281,0.957,27.514,19.093,1285.800,593.900,27.280,12.522,26.565,28.014,1.018,1279,590,6,8.400,2.335,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
117,258,67.324,0.715,1,1258,1284,589,607,1270.314,597.783,1270.314,597.783,14.086,6.009,26.766,2.344,279,0.925,26.926,15.068,1270.600,597.800,26.833,12.522,26.565,27.614,1.026,1264,594,6,7.348,2.301,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
128,426,86.094,0.722,1,814,841,745,776,827.148,760.707,827.148,760.707,19.182,7.215,49.990,2.659,447,0.953,37.202,53.746,827.250,760.750,36.770,14.849,45.000,37.214,1.000,822,755,7,10.909,2.658,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
139,143,45.221,0.879,1,559,576,746,759,566.612,752.283,566.612,752.283,8.482,5.502,29.885,1.541,147,0.973,18.788,25.201,566.750,752.750,17.678,11.314,45.000,18.814,1.001,565,751,6,6.167,1.568,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
149,317,76.614,0.679,1,558,584,758,785,571.071,771.516,571.071,771.516,17.522,5.877,47.965,2.982,329,0.964,33.302,48.652,571.000,771.500,33.234,12.021,45.000,33.214,0.997,567,767,6,9.526,2.768,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
160,431,88.221,0.696,1,839,869,767,797,853.899,782.108,853.899,782.108,20.183,6.928,44.912,2.913,442,0.975,39.623,47.045,853.750,782.250,39.598,13.435,45.000,39.414,0.995,845,773,6,10.130,3.285,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
171,279,72.822,0.661,1,583,609,771,796,596.152,783.668,596.152,783.668,16.394,5.562,42.912,2.947,289,0.965,31.064,33.179,596.250,784.250,30.406,11.314,45.000,31.014,0.998,589,777,5,8.765,3.101,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
181,318,77.494,0.665,1,579,608,782,805,593.211,794.311,593.211,794.311,17.232,6.141,37.838,2.806,345,0.922,33.287,32.735,592.801,794.260,33.176,13.270,37.405,33.214,0.998,589,791,6,8.917,2.768,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
235,283,67.744,0.775,1,1413,1427,1065,1091,1419.539,1078.383,1419.539,1078.383,13.750,6.736,-83.458,2.041,299,0.946,26.683,77.005,1419.480,1078.397,26.168,13.216,97.595,26.814,1.005,1420,1072,6,8.600,2.235,./nx1.8016_XY2.ome0000_cp_masks_filtered.tif
6,127,42.865,0.869,1,470,483,0,14,476.642,7.264,476.642,7.264,7.623,5.477,52.978,1.392,136,0.934,17.029,49.764,476.559,7.735,15.280,11.884,75.964,17.014,0.999,476,7,6,7.000,1.418,./nx1.8016_XY2.ome0002_cp_masks_filtered.tif
