horizontal_drug	horizontal_concentration	nitroxoline_concentration	ODnorm_bug_rob	Concv_flag	Conch_flag	Biolrep	Techrep
Polymyxin B	0	0	1	1	1	4	1
Polymyxin B	0.03125	0	1	1	2	4	1
Polymyxin B	0.0625	0	0.999211120157942	1	3	4	1
Polymyxin B	0.125	0	1	1	4	4	1
Polymyxin B	0.25	0	0.966863989985009	1	5	4	1
Polymyxin B	0.5	0	0	1	6	4	1
Polymyxin B	1	0	0	1	7	4	1
Polymyxin B	2	0	0	1	8	4	1
Polymyxin B	4	0	0	1	9	4	1
Polymyxin B	0	0.0625	0.950295896804959	2	1	4	1
Polymyxin B	0.03125	0.0625	0	2	2	4	1
Polymyxin B	0.0625	0.0625	0.953846135307309	2	3	4	1
Polymyxin B	0.125	0.0625	0.92228800253984	2	4	4	1
Polymyxin B	0.25	0.0625	0.852465567662398	2	5	4	1
Polymyxin B	0.5	0.0625	0	2	6	4	1
Polymyxin B	1	0.0625	0	2	7	4	1
Polymyxin B	2	0.0625	0	2	8	4	1
Polymyxin B	4	0.0625	0.000394484007306213	2	9	4	1
Polymyxin B	0	0.125	0.951479260654323	3	1	4	1
Polymyxin B	0.03125	0.125	0.932149926377387	3	2	4	1
Polymyxin B	0.0625	0.125	0.966074933797842	3	3	4	1
Polymyxin B	0.125	0.125	0.948323447377576	3	4	4	1
Polymyxin B	0.25	0.125	0.848915182205791	3	5	4	1
Polymyxin B	0.5	0.125	0	3	6	4	1
Polymyxin B	1	0.125	0	3	7	4	1
Polymyxin B	2	0.125	0	3	8	4	1
Polymyxin B	4	0.125	0	3	9	4	1
Polymyxin B	0	0.25	0.926627297229357	4	1	4	1
Polymyxin B	0.03125	0.25	0.910848113282217	4	2	4	1
Polymyxin B	0.0625	0.25	0.865877759393147	4	3	4	1
Polymyxin B	0.125	0.25	0.86469433676208	4	4	4	1
Polymyxin B	0.25	0.25	0.691913251256246	4	5	4	1
Polymyxin B	0.5	0.25	0	4	6	4	1
Polymyxin B	1	0.25	0	4	7	4	1
Polymyxin B	2	0.25	0	4	8	4	1
Polymyxin B	4	0.25	0	4	9	4	1
Polymyxin B	0	0.5	0.783037469838006	5	1	4	1
Polymyxin B	0.03125	0.5	0.764102648959227	5	2	4	1
Polymyxin B	0.0625	0.5	0.751479307679685	5	3	4	1
Polymyxin B	0.125	0.5	0.616173556269211	5	4	4	1
Polymyxin B	0.25	0.5	0.436291934976974	5	5	4	1
Polymyxin B	0.5	0.5	0	5	6	4	1
Polymyxin B	1	0.5	0	5	7	4	1
Polymyxin B	2	0.5	0	5	8	4	1
Polymyxin B	4	0.5	0	5	9	4	1
Polymyxin B	0	1	0.305325419474313	6	1	4	1
Polymyxin B	0.03125	1	0.261538488216311	6	2	4	1
Polymyxin B	0.0625	1	0.258382645548713	6	3	4	1
Polymyxin B	0.125	1	0.226824424608689	6	4	4	1
Polymyxin B	0.25	1	0	6	5	4	1
Polymyxin B	0.5	1	0	6	6	4	1
Polymyxin B	1	1	0	6	7	4	1
Polymyxin B	2	1	0	6	8	4	1
Polymyxin B	4	1	0	6	9	4	1
Polymyxin B	0	2	0.00473374930597178	7	1	4	1
Polymyxin B	0.03125	2	0.00118345202191864	7	2	4	1
Polymyxin B	0.0625	2	0	7	3	4	1
Polymyxin B	0.125	2	0	7	4	4	1
Polymyxin B	0.25	2	0	7	5	4	1
Polymyxin B	0.5	2	0	7	6	4	1
Polymyxin B	1	2	0.000394484007306213	7	7	4	1
Polymyxin B	2	2	0	7	8	4	1
Polymyxin B	4	2	0	7	9	4	1
Polymyxin B	0	4	0	8	1	4	1
Polymyxin B	0.03125	4	0	8	2	4	1
Polymyxin B	0.0625	4	0	8	3	4	1
Polymyxin B	0.125	4	0	8	4	4	1
Polymyxin B	0.25	4	0	8	5	4	1
Polymyxin B	0.5	4	0	8	6	4	1
Polymyxin B	1	4	0	8	7	4	1
Polymyxin B	2	4	0	8	8	4	1
Polymyxin B	4	4	0	8	9	4	1
