og1	count	conservation	cross_species_conservation	protein_ID	og	gene_name	description	Condition_treatment	Condition_control	Strain_treatment	Strain_control	species_analyzed	logFC	AveExpr	t	P.Value	adj.P.Val	B	hit	species	complete_name
AceA	3	conserved	conserved within species	PBBIODIN_03852	AceA	PBBIODIN_03852	Isocitrate lyase	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.313062496	20.78620648	26.17357149	5.24E-07	6.35E-06	6.943650461	1	K. pneumoniae	K. pneumoniae MS299R
AceA	3	conserved	conserved within species	PBBIODIN_03852	AceA	PBBIODIN_03852	Isocitrate lyase	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	2.109599909	21.18447519	43.99303562	7.15E-07	1.69E-05	7.088872059	1	K. pneumoniae	K. pneumoniae MS274R
AceA	3	conserved	conserved within species	PBBIODIN_03852	AceA	PBBIODIN_03852	Isocitrate lyase	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	1.26378625	20.76156836	41.15023758	5.98E-09	1.04E-07	11.40691291	1	K. pneumoniae	K. pneumoniae MS311R
AcnA_1~~~acnA	1	strain-specific	strain-specific	MS02-S_04410	AcnA_1~~~acnA	MS02-S_04410	Aconitate hydratase A	nodrug	nodrug	MS366R	MS02S	Kpneumoniae_MS02	1.237787001	25.53395364	17.22009847	1.09E-05	0.00035773	3.979978825	1	K. pneumoniae	K. pneumoniae MS366R
AcrA	1	strain-specific	strain-specific	PRZ_00229	AcrA	PRZ_00229	Multidrug efflux pump subunit AcrA	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.67143173	26.2344065	38.68191691	4.96E-15	1.01E-13	24.79972827	1	K. pneumoniae	K. pneumoniae MS493R
AcrB_1	5	conserved	conserved within species	PBBIODIN_02063	AcrB_1	PBBIODIN_02063	Multidrug efflux pump subunit AcrB	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	-1.521438312	26.09181758	-32.59158425	1.57E-07	2.82E-06	8.307507395	1	K. pneumoniae	K. pneumoniae MS299R
AcrB_1	5	conserved	conserved within species	PBBIODIN_02063	AcrB_1	PBBIODIN_02063	Multidrug efflux pump subunit AcrB	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	-1.134766005	26.28515373	-30.613759	3.38E-06	3.94E-05	5.280115123	1	K. pneumoniae	K. pneumoniae MS274R
AcrB_1	5	conserved	conserved within species	PBBIODIN_02063	AcrB_1	PBBIODIN_02063	Multidrug efflux pump subunit AcrB	nodrug	nodrug	MS311R	MS55S	Kpneumoniae_MS55	-1.649091326	26.02799107	-54.81629838	9.72E-10	3.69E-08	13.39886474	1	K. pneumoniae	K. pneumoniae MS311R
AcrB_1	5	conserved	conserved within species	PRZ_00228	AcrB_1	PRZ_00228	Multidrug efflux pump subunit AcrB	nodrug	nodrug	MS530R	PRZS	Kpneumoniae_PRZ	1.242584907	26.06335374	28.07760461	4.09E-06	6.19E-05	5.134699247	1	K. pneumoniae	K. pneumoniae MS530R
AcrB_1	5	conserved	conserved within species	PRZ_00228	AcrB_1	PRZ_00228	Multidrug efflux pump subunit AcrB	nodrug	nodrug	MS493R	PRZS	Kpneumoniae_PRZ	1.537400131	26.21076135	35.634761	1.46E-14	2.54E-13	23.66720955	1	K. pneumoniae	K. pneumoniae MS493R
AcuI	3	conserved	conserved within species	PBBIODIN_00746	AcuI	PBBIODIN_00746	putative acrylyl-CoA reductase AcuI	nodrug	nodrug	MS299R	MS55S	Kpneumoniae_MS55	1.176594718	24.34011516	30.66409904	2.20E-07	3.45E-06	7.930505452	1	K. pneumoniae	K. pneumoniae MS299R
AcuI	3	conserved	conserved within species	PBBIODIN_00746	AcuI	PBBIODIN_00746	putative acrylyl-CoA reductase AcuI	nodrug	nodrug	MS274R	MS55S	Kpneumoniae_MS55	1.314721742	24.40917867	41.49932625	9.18E-07	1.97E-05	6.802744425	1	K. pneumoniae	K. pneumoniae MS274R
