og1	count	conservation	cross_species_conservation	protein_ID	og	gene_name	description	Condition_treatment	Condition_control	Strain_treatment	Strain_control	species_analyzed	logFC	AveExpr	t	P.Value	adj.P.Val	B	hit	species	complete_name
adeF	1	strain-specific	strain-specific	D0C5J5	adeF	bpeE	Multidrug efflux pump BpeE	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	2.77801535247842	20.0954516379062	76.9426751122281	2.56271242171507e-07	0.000195519057888	7.98651438873939	1	A. baumannii	A. baumannii MS69R
group_2552	2	conserved	conserved within species	D0CCF4	group_2552	HMPREF0010_02434	Putative GABA permease	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	2.76931220759204	22.7189631618126	75.3613465986017	2.77740406677325e-07	0.000195519057888	7.9331938719843	1	A. baumannii	A. baumannii MS69R
group_2552	2	conserved	conserved within species	2778_00199	group_2552	2778_00199	GABA permease	nodrug	nodrug	MS72R	2778S	Abaumanii_2778	1.10352253389631	23.4680877709838	27.5865565558498	3.14470199850532e-18	1.41183650034335e-16	31.6382936880361	1	A. baumannii	A. baumannii MS72R
	43	conserved	conserved across species	D0C5J3		oprC	Outer membrane efflux protein OprC	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	4.8345203959491	25.8340602741452	68.3469570902795	4.05512248716731e-07	0.000195519057888	7.66839541736349	1	A. baumannii	A. baumannii MS69R
	43	conserved	conserved across species	D0C8S3		HMPREF0010_01153	Transporter, branched chain amino acid:cation symporter (LIVCS) family protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.64486290298762	19.6942228106077	45.3227041304719	1.98977789435896e-06	0.000415625207072	6.32091396994437	1	A. baumannii	A. baumannii MS69R
	43	conserved	conserved across species	D0CFD2		fahA	Fumarylacetoacetase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.65829035356305	24.4124374846514	-33.4749468361333	6.42405859259137e-06	0.00067192383549	5.13011266807022	1	A. baumannii	A. baumannii MS69R
	43	conserved	conserved across species	D0C6U0		HMPREF0010_00470	Rieske [2Fe-2S] domain protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.3951603584637	21.5249643162987	-33.1350703267851	6.68250707008904e-06	0.00067192383549	5.0878094733338	1	A. baumannii	A. baumannii MS69R
	43	conserved	conserved across species	D0CFA3		dkgB	AKR5D	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.05810541053637	24.229573417337	27.827390188412	1.31157640405025e-05	0.000943399428381	4.34672201076458	1	A. baumannii	A. baumannii MS69R
	43	conserved	conserved across species	D0CFD0		HMPREF0010_03421	Glyoxalase family protein	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	-1.20296146166956	24.1269630390545	-26.318086087202	1.62651895426999e-05	0.0010380676326	4.1039061936496	1	A. baumannii	A. baumannii MS69R
	43	conserved	conserved across species	D0C8R9		pycA	Biotin carboxylase	nodrug	nodrug	MS69R	19606S	Acinetobacter baumannii (strain ATCC 19606 / DSM 30007 / JCM 6841 / CCUG 19606 / CIP 70.34 / NBRC 109757 / NCIMB 12457 / NCTC 12156 / 81) OX=575584	1.22717175710588	25.1997710341789	13.6977963747707	0.000199613594807	0.002997558772433	1.13420723531196	1	A. baumannii	A. baumannii MS69R
