representative	clustername	nObs	min_qupm	max_qupm	nCoeffsH0	nCoeffsH1	rssH0	rssH1	df1	df2	F_statistic	pEC50H1	slopeH1	pEC50_slopeH1	detected_effectH1	nObsRound	pi	FDR
GLPF	GLPF	50	3	4	10	24	29.5441063498823	0.15637365070627	14	26	317.112380940665	6.03681614868321	-4.46994241678143	-0.000389614029461095	expression/solubility	50	0.998942917547569	0
SDHA	SDHA	50	22	33	10	24	26.8875728306365	0.140760276691668	14	26	314.27780147432	6.45963237478288	-6.24170031264425	-0.00464404826432355	stability	50	0.997885835095137	0
SDHB	SDHB	50	12	21	10	24	45.5828055430467	0.2776095147838	14	26	299.178532714806	6.6040762107072	-7.84058462180564	-0.00289198314050855	stability	50	0.996828752642706	0
COPA	COPA	50	5	19	10	24	122.329819332276	1.03578011290441	14	26	233.755667853355	6.38012663318761	4.27454948518635	0.00137323608258667	expression/solubility	50	0.995771670190275	0
CUEO	CUEO	50	5	9	10	24	54.1258728929141	0.448576601019524	14	26	229.102196667918	6.59539103462756	3.61826665409369	0.00730228486805445	expression/solubility	50	0.994714587737844	0
POXB	POXB	50	6	13	10	24	23.8937781106241	0.197928412462761	14	26	210.045088491134	6.0386710522956	4.12491686083212	0.00461342323663641	expression/solubility	50	0.993657505285412	0
NUOG	NUOG	50	5	35	10	24	22.2937929840725	0.2002067483444	14	26	193.943925226862	6.29173636096795	-4.75099563651135	-0.00878049147923354	stability	50	0.992600422832981	0
SDAA	SDAA	50	5	9	10	24	47.2244800801884	0.482914019226708	14	26	186.268624950778	6.34342310002758	-3.73701837056111	-0.0031978266132984	stability	50	0.99154334038055	0
AZOR	AZOR	50	5	8	10	24	44.2332118977531	0.462918609768332	14	26	181.434865563934	6.10679886987683	3.37075467913628	0.000149534869453976	expression/solubility	50	0.990486257928118	0
GLPC	GLPC	30	2	4	6	16	26.5154806492248	0.214292417064608	10	14	175.385047838435	6.44120081310531	-4.85374227111691	-0.00502491074854022	stability	30	0.997727272727273	0
NUOC	NUOC	50	6	31	10	24	14.3032053988103	0.134331382566288	14	26	172.812720596517	6.89118448235941	-5.41212365018052	0.00304778235411455	stability	50	0.989429175475687	0
RLMN	RLMN	40	6	14	8	20	25.7679252354627	0.265948707205092	12	20	159.438721172691	5.69897000433602	-2.86235170680469	-0.0174431559138657	stability	40	0.997319034852547	0
YQJG	YQJG	50	3	11	10	24	31.2450180128874	0.372257634209328	14	26	156.472413010914	6.04502383846421	4.96097161505232	0.00510802417916702	expression/solubility	50	0.988372093023256	0
GLPD	GLPD	40	10	26	8	20	10.913855246029	0.0912015971084708	12	20	155.279350682418	6.11498211610051	-3.09683186884243	-0.000805101441444386	expression/solubility	40	0.994638069705094	0
NUOI	NUOI	40	6	9	8	20	12.5049042731406	0.116259805793207	12	20	149.911706820684	6.46044152419227	-5.38292466867999	-0.00577231878260728	expression/solubility	40	0.991957104557641	0
FDOH	FDOH	50	8	12	10	24	10.8099832325382	0.1204163120196	14	26	142.062380923058	6.83844880285561	-6.68529476963125	0.00072713445865318	expression/solubility	50	0.987315010570824	0
UGPB	UGPB	50	6	13	10	24	12.5334788480421	0.145459544885789	14	26	141.766571803467	6.04773471351484	2.87970132483039	-0.000407951868853402	expression/solubility	50	0.986257928118393	0
GLPB	GLPB	30	2	4	6	16	11.4091310731156	0.0964513368642787	10	14	139.024065446326	6.1007341601984	-2.67254042752878	-0.00344028906724864	expression/solubility	30	0.995454545454545	0
HEMN	HEMN	40	4	15	8	20	23.4660722320063	0.280291404363873	12	20	138.541734546656	6.57929514903618	-4.62776045886726	-0.00166220149600822	stability	40	0.989276139410188	0
GLPA	GLPA	30	7	13	6	16	14.9588102329485	0.155656788863801	10	14	127.797202928099	5.69897000433602	-3.92067135026929	-0.0148453317730663	expression/solubility	30	0.993181818181818	0
GLPK	GLPK	50	21	27	10	24	11.2091179248365	0.145387025669962	14	26	126.662567483946	6.42780232009945	-4.19482149737819	0.00740445080599974	expression/solubility	50	0.985200845665962	0
TORA	TORA	50	9	14	10	24	18.7135718714645	0.272605299037816	14	26	123.759398060416	6.46730148713965	-3.05072464907081	-0.00222607218591567	expression/solubility	50	0.984143763213531	0
FECI	FECI	30	3	4	6	16	22.2169217436287	0.266813523764244	10	14	121.585070923554	6.62844978104532	7.23917539966662	-0.00540498398312189	expression/solubility	30	0.990909090909091	0
SUFD	SUFD	50	9	12	10	24	29.7017792815431	0.482141094432434	14	26	116.616527702503	6.86733215234485	8.25656557710092	0.000219550587920354	expression/solubility	50	0.983086680761099	0
TSAD	TSAD	30	11	12	6	16	6.84912015442264	0.0587951707332167	10	14	114.211424853745	6.39806877398386	-2.15034764611592	0.00171782104469056	stability	30	0.988636363636364	0
NUOF	NUOF	50	8	20	10	24	17.9039803586952	0.285157501192231	14	26	113.603688283888	6.41762165905054	-3.89424501082366	-0.00613511126118938	stability	50	0.982029598308668	0
RMF	RMF	30	2	2	6	16	39.3491634067095	0.561309480267678	10	14	110.209388101735	6.76810834289536	3.97624664310364	0.0126166139935896	expression/solubility	30	0.986363636363636	0
MNTH	MNTH	30	2	2	6	16	92.4802096384668	1.38230764127165	10	14	109.780819833139	6.55397573978061	3.76714517819418	-0.00102057854395301	expression/solubility	30	0.984090909090909	0
RAIA	RAIA	50	6	10	10	24	39.2045533711858	0.703584155836147	14	26	107.578288646107	6.00669391317845	3.76048596803575	-0.00143019607420147	expression/solubility	50	0.980972515856237	0
NAPA	NAPA	50	17	21	10	24	8.12953703433091	0.119610588590252	14	26	107.005787262569	6.64717632113215	-5.51189265867115	-0.00415817344304002	expression/solubility	50	0.979915433403805	0
UBIE	UBIE	40	8	13	8	20	14.2324534716055	0.211260967828146	12	20	106.459694921572	6.56141185681699	-3.59943962433453	0.00834559547069719	stability	40	0.986595174262735	0
TRPB	TRPB	50	7	15	10	24	12.6872306096648	0.209844704764047	14	26	105.215733697181	6.08685568652843	3.96883410438745	0.00302472313762011	expression/solubility	50	0.978858350951374	0
FDOG	FDOG	50	28	46	10	24	4.33110392003921	0.053579583031744	14	26	99.8208467089191	6.6135362325191	-7.40276336748692	-0.00317401759921141	expression/solubility	50	0.977801268498943	0
SUFB	SUFB	50	7	17	10	24	31.6698450237049	0.609355960719468	14	26	99.4831484773669	7.29945419550528	5.95053485116157	0.00717675622021407	expression/solubility	50	0.976744186046512	0
NSRR	NSRR	50	3	6	10	24	13.0006727281878	0.241890410432042	14	26	95.1295343742683	6.12243018680216	-3.44730140654037	-0.00598699029166332	stability	50	0.97568710359408	0
PPNP	PPNP	30	2	2	6	16	9.05637768464945	0.121698531979269	10	14	93.0042279891314	5.91501643698368	3.25439762793129	-0.00345083420370962	expression/solubility	30	0.981818181818182	0
TREC	TREC	30	17	22	6	16	8.01559478248619	0.114575601214757	10	14	85.9539973382664	6.21604182348176	-3.69314594512402	0.00488759389905968	expression/solubility	30	0.979545454545454	0
NUOB	NUOB	50	2	12	10	24	17.4554118912921	0.383646632326337	14	26	84.1700555288579	7.53305764605355	-4.59667465260558	0.0148388277639452	stability	50	0.974630021141649	0
GLPT	GLPT	50	6	9	10	24	19.0741745061771	0.435150805897582	14	26	81.8265213462843	6.18075113469969	-3.25541226688703	-0.0032679025356387	expression/solubility	50	0.973572938689218	0
AMN	AMN	40	12	19	8	20	6.60509556565651	0.117295176614011	12	20	78.0024292029301	6.57451407140033	2.5459737880572	0.0168025444243277	expression/solubility	40	0.983914209115281	0
FRDB	FRDB	40	4	6	8	20	12.8985201285505	0.277756829076081	12	20	76.0072135984921	6.18451063367936	-6.27053355622308	-0.0113591279004581	expression/solubility	40	0.981233243967828	0
UBIH	UBIH	30	6	9	6	16	6.36846874190584	0.10032871409531	10	14	74.9517883750091	6.60555072312526	-4.12079355942337	0.0126443737741789	stability	30	0.977383793612911	0.00488691896806455
FUMB	FUMB	30	7	11	6	16	5.74879773658846	0.0900478861967385	10	14	72.8798543949862	6.79281162588441	-3.25439673734797	-0.000430925652036327	stability	30	0.975110808046369	0.00443232185475622
NMPC	NMPC	40	3	6	8	20	9.14864340242839	0.198946385163381	12	20	71.4009654944054	6.89880031756491	-2.99744837346377	0.0114306309217849	expression/solubility	40	0.978552278820375	0
SDAB	SDAB	40	3	11	8	20	27.7021382179083	0.691219860229581	12	20	71.1589923122263	5.69897000433602	-3.06588841593309	-0.0107353838518915	expression/solubility	40	0.975871313672922	0
SUFA	SUFA	30	2	2	6	16	29.4919711488343	0.663343825484131	10	14	70.0851942908137	6.09514312885139	5.92040639607303	-0.0102202089508639	expression/solubility	30	0.972837822479827	0.00405349092699928
UBIF	UBIF	30	6	7	6	16	3.50548417141192	0.0420811184721767	10	14	69.6505429891998	6.66493647047847	-3.88546145795676	0.0128720368297225	stability	30	0.970564836913286	0.00373294168043571
PMBA	PMBA	50	10	22	10	24	12.2798016096323	0.321142670088242	14	26	69.3130756968943	6.86775980671868	5.30730100655283	-0.00509874588936567	stability	50	0.972515856236786	0
DEOB	DEOB	50	16	24	10	24	16.580890200958	0.45049013248949	14	26	68.5753525791543	6.90279121701231	5.83895239053882	-0.00620093176294865	stability	50	0.971458773784355	0
GLOA	GLOA	50	4	7	10	24	59.8405188132927	1.72954809802371	14	26	67.955000889682	6.6298190482088	-3.26479834025375	-0.00549878590875914	stability	50	0.970401691331924	0
TTCA	TTCA	50	4	19	10	24	4.03792205394932	0.0863231775014002	14	26	67.2936035935743	6.53674290492848	-3.30708198964015	-0.00399120074217749	stability	50	0.969344608879493	0
ADE	ADE	50	3	10	10	24	30.4688090938086	0.893801964557898	14	26	65.7105201881178	6.33277893437426	-5.43987409725086	-0.0138087589629963	stability	50	0.968287526427061	0
RIHA	RIHA	50	5	6	10	24	5.3468211784349	0.131488103431396	14	26	64.6969590171128	6.02403861181019	-4.87747712693055	0.00365735087512974	expression/solubility	50	0.96723044397463	0
NRDI	NRDI	40	2	2	8	20	35.2874221487525	0.983114334503127	12	20	64.6838240493481	6.68881914145958	5.95051349139459	-0.0031897950638139	expression/solubility	40	0.973190348525469	0
TSX	TSX	50	5	6	10	24	6.83692533834963	0.182022461036116	14	26	63.3172741207553	5.69897000433602	-3.03694932791017	-0.00699439044508733	expression/solubility	50	0.966173361522199	0
MALP	MALP	50	28	46	10	24	9.58118205516926	0.284763226087013	14	26	60.0159470567243	6.13054456170011	-4.01452394892691	0.00286751875534444	expression/solubility	50	0.965116279069767	0
FHUE	FHUE	50	8	11	10	24	97.9323559803362	3.22780042216776	14	26	59.890589749478	7.04935616491033	5.22718801143106	0.00320818923915472	expression/solubility	50	0.964059196617336	0
QUEE	QUEE	40	2	8	8	20	30.9299572274991	0.951066501831178	12	20	58.3488988570105	6.73341285683017	-3.03821015119548	-0.000937680048372695	stability	40	0.970509383378016	0
SUFS	SUFS	50	6	8	10	24	22.5134473825414	0.748982416458292	14	26	57.2913472387055	6.89867092243073	8.09535371985809	0.00137913479590675	expression/solubility	50	0.963002114164905	0
YHHW	YHHW	50	2	7	10	24	106.577303061759	3.72528505826175	14	26	56.4374502565743	6.31409608207384	4.18539185976909	0.00560906967006657	expression/solubility	50	0.961945031712474	0
UBIJ	UBIJ	40	3	3	8	20	9.00984743682683	0.261944868694726	12	20	55.4083385288715	6.57713740120596	-3.02565589527466	0.00910913966938109	stability	40	0.967828418230563	0
ZNTA	ZNTA	50	5	28	10	24	131.86631735405	4.98809202398834	14	26	52.1178544189155	5.69897000433602	3.47011906980106	-0.0189939138754295	expression/solubility	50	0.960887949260042	0
TREB	TREB	40	3	8	8	20	8.00625411880423	0.245138697198187	12	20	52.0179063279839	6.10915678856221	-3.74380563508795	0.00292208045970397	expression/solubility	40	0.965276846762301	0.00371260325677808
NAGA	NAGA	50	7	13	10	24	7.86611298303365	0.267018965456922	14	26	51.9421849290915	5.95347037180251	4.36582559001953	-0.0108321042185274	expression/solubility	50	0.959830866807611	0
APAH	APAH	50	2	9	10	24	17.8311712224988	0.658568977107644	14	26	51.0982088492036	5.69897000433602	-2.14650851419261	-0.0137202746803497	stability	50	0.95877378435518	0
SERA	SERA	40	9	15	8	20	9.1331104590182	0.293660778300121	12	20	50.7254276081134	6.95945904665927	4.43107281748304	0.014408666023138	expression/solubility	40	0.962595522187961	0.00343784115067129
CSPB	CSPB	40	2	2	8	20	8.64494803220872	0.281594000562294	12	20	49.7733741940859	6.1007459464172	-5.91005433646539	0.00569875005591959	expression/solubility	40	0.959914197613621	0.0031997139920454
RPOH	RPOH	50	2	5	10	24	35.4199639715151	1.40748802645477	14	26	48.6554899644979	5.69897000433602	3.25245874913856	-0.00779571959440301	expression/solubility	50	0.957716701902748	0
OPPA	OPPA	50	19	33	10	24	20.8756588924501	0.826972966566308	14	26	47.9989121680407	5.90632816653134	1.97393768288227	0.00184808778918129	stability	50	0.956710185527776	0.00116671973844851
UBIG	UBIG	30	7	11	6	16	4.45738545343899	0.11330066074067	10	14	47.6432724288182	6.36083397581122	-4.5634454316703	0.00478800788042119	stability	30	0.968622100954979	0.0138374585850711
NARH	NARH	50	5	8	10	24	8.03844831315419	0.302178660821356	14	26	47.3630311552153	6.61732860567055	-5.5327604832469	-0.00691079201681096	expression/solubility	50	0.955653047201226	0.00113768219904908
LLDR	LLDR	30	2	4	6	16	13.6224484629989	0.435928738165702	10	14	47.2689437358583	6.59884428453277	-4.34008798075742	0.0140441118665134	expression/solubility	30	0.966348340154616	0.0128846445353949
